condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
H,N1,100,,,0.0000,0.2724
H,N10,100,,,0.0000,0.2398
H,N11,100,,,0.0000,0.174
H,N12,100,,,0.0000,0.1952
H,N13,100,,,0.0000,0.246
H,N14,100,,,0.0000,0.2293
H,N15,100,,,0.0000,0.1837
H,N16,100,,,0.0000,0.2367
H,N17,100,,,0.0000,0.2765
H,N18,100,,,0.0000,0.2724
H,N19,100,,,0.0000,0.2112
H,N2,100,,,0.0000,0.2367
H,N20,100,,,0.0000,0.2147
H,N21,100,,,0.0000,0.1833
H,N22,100,,,0.0000,0.2045
H,N23,100,,,0.0000,0.2404
H,N24,100,,,0.0000,0.2315
H,N25,100,,,0.0000,0.1748
H,N26,100,,,0.0000,0.228
H,N27,100,,,0.0000,0.2669
H,N28,100,,,0.0000,0.2594
H,N29,100,,,0.0000,0.1967
H,N3,100,,,0.0000,0.267
H,N30,100,,,0.0000,0.2253
H,N31,100,,,0.0000,0.1918
H,N32,100,,,0.0000,0.1923
H,N33,100,,,0.0000,0.2347
H,N34,100,,,0.0000,0.2241
H,N35,100,,,0.0000,0.1692
H,N36,100,,,0.0000,0.2535
H,N37,100,,,0.0000,0.2779
H,N38,100,,,0.0000,0.2669
H,N39,100,,,0.0000,0.2218
H,N4,100,,,0.0000,0.2187
H,N40,100,,,0.0000,0.2275
H,N41,100,,,0.0000,0.1889
H,N42,100,,,0.0000,0.1739
H,N43,100,,,0.0000,0.2353
H,N44,100,,,0.0000,0.233
H,N45,100,,,0.0000,0.1697
H,N46,100,,,0.0000,0.2392
H,N47,100,,,0.0000,0.264
H,N48,100,,,0.0000,0.2536
H,N49,100,,,0.0000,0.2237
H,N5,100,,,0.0000,0.1917
H,N50,100,,,0.0000,0.2281
H,N6,100,,,0.0000,0.2323
H,N7,100,,,0.0000,0.2908
H,N8,100,,,0.0000,0.2792
H,N9,100,,,0.0000,0.2197
H,NE1,100,,,0.0000,0.1839
H,NE10,100,,,0.0000,0.2102
H,NE11,100,,,0.0000,0.1753
H,NE12,100,,,0.0000,0.1613
H,NE13,100,,,0.0000,0.2553
H,NE14,100,,,0.0000,0.2398
H,NE2,100,,,0.0000,0.2057
H,NE3,100,,,0.0000,0.1753
H,NE4,100,,,0.0000,0.1773
H,NE5,100,,,0.0000,0.2541
H,NE6,100,,,0.0000,0.2779
H,NE7,100,,,0.0000,0.2603
H,NE8,100,,,0.0000,0.2413
H,NE9,100,,,0.0000,0.1693
H,S1,100,0.0000,2.0,,0.1278
H,S10,100,0.0000,7.0,,0.2438
H,S11,100,0.0000,7.0,,0.2325
H,S12,100,0.0000,7.0,,0.2061
H,S13,100,0.0000,7.0,,0.2109
H,S14,100,0.0000,7.0,,0.2754
H,S15,100,0.0000,2.0,,0.1529
H,S16,100,0.0000,3.0,,0.3087
H,S17,100,0.0000,4.0,,0.2936
H,S2,100,0.0000,3.0,,0.1974
H,S3,100,0.0000,3.0,,0.2238
H,S4,100,0.0000,4.0,,0.1937
H,S5,100,0.0000,8.0,,0.2277
H,S6,100,0.0000,6.0,,0.2263
H,S7,100,0.0000,7.0,,0.2331
H,S8,100,0.0000,7.0,,0.2101
H,S9,100,0.0000,7.0,,0.2245
