condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
H,N1,100,,,0.0000,0.2147
H,N10,100,,,0.0000,0.2409
H,N11,100,,,0.0000,0.1864
H,N12,100,,,0.0000,0.1763
H,N13,100,,,0.0000,0.2547
H,N14,100,,,0.0000,0.2463
H,N15,100,,,0.0000,0.174
H,N16,100,,,0.0000,0.2396
H,N17,100,,,0.0000,0.2315
H,N18,100,,,0.0000,0.2427
H,N19,100,,,0.0000,0.2117
H,N2,100,,,0.0000,0.2049
H,N20,100,,,0.0000,0.2383
H,N21,100,,,0.0000,0.2087
H,N22,100,,,0.0000,0.1824
H,N23,100,,,0.0000,0.2246
H,N24,100,,,0.0000,0.2233
H,N25,100,,,0.0000,0.1805
H,N26,100,,,0.0000,0.2273
H,N27,100,,,0.0000,0.2495
H,N28,100,,,0.0000,0.2606
H,N29,100,,,0.0000,0.215
H,N3,100,,,0.0000,0.2386
H,N30,100,,,0.0000,0.248
H,N31,100,,,0.0000,0.1924
H,N32,100,,,0.0000,0.1943
H,N33,100,,,0.0000,0.2332
H,N34,100,,,0.0000,0.2316
H,N35,100,,,0.0000,0.1795
H,N36,100,,,0.0000,0.2301
H,N37,100,,,0.0000,0.2412
H,N38,100,,,0.0000,0.2541
H,N39,100,,,0.0000,0.2117
H,N4,100,,,0.0000,0.211
H,N40,100,,,0.0000,0.2281
H,N41,100,,,0.0000,0.1912
H,N42,100,,,0.0000,0.1869
H,N43,100,,,0.0000,0.2605
H,N44,100,,,0.0000,0.2292
H,N45,100,,,0.0000,0.1753
H,N46,100,,,0.0000,0.2392
H,N47,100,,,0.0000,0.2676
H,N48,100,,,0.0000,0.25
H,N49,100,,,0.0000,0.2127
H,N5,100,,,0.0000,0.1775
H,N50,100,,,0.0000,0.2455
H,N6,100,,,0.0000,0.2332
H,N7,100,,,0.0000,0.2809
H,N8,100,,,0.0000,0.276
H,N9,100,,,0.0000,0.2114
H,NE1,100,,,0.0000,0.2174
H,NE10,100,,,0.0000,0.2344
H,NE11,100,,,0.0000,0.1971
H,NE12,100,,,0.0000,0.2069
H,NE13,100,,,0.0000,0.2754
H,NE14,100,,,0.0000,0.2841
H,NE2,100,,,0.0000,0.1964
H,NE3,100,,,0.0000,0.2014
H,NE4,100,,,0.0000,0.2181
H,NE5,100,,,0.0000,0.2702
H,NE6,100,,,0.0000,0.2934
H,NE7,100,,,0.0000,0.2881
H,NE8,100,,,0.0000,0.2519
H,NE9,100,,,0.0000,0.2142
H,S1,100,0.0000,2.0,,0.1412
H,S10,100,0.0000,7.0,,0.2509
H,S11,100,0.0000,7.0,,0.239
H,S12,100,0.0000,7.0,,0.2218
H,S13,100,0.0000,7.0,,0.2537
H,S14,100,0.0000,7.0,,0.2594
H,S15,100,0.0000,2.0,,0.1625
H,S16,100,0.0000,3.0,,0.2148
H,S17,100,0.0000,4.0,,0.1931
H,S18,100,0.0000,2.0,,0.1262
H,S19,100,0.0000,3.0,,0.1605
H,S2,100,0.0000,3.0,,0.1983
H,S3,100,0.0000,3.0,,0.2137
H,S4,100,0.0000,4.0,,0.201
H,S5,100,0.0000,8.0,,0.2472
H,S6,100,0.0000,6.0,,0.2133
H,S7,100,0.0000,7.0,,0.2368
H,S8,100,0.0000,7.0,,0.2465
H,S9,100,0.0000,7.0,,0.2426
